English Term,English Definition,IsiZulu Term,IsiZulu Definition
stilt dwelling,,indlu eqhwakele ezinsikeni ,
stitching needle,,itulo,
string course,,umdweshu,
structure,,isakhiwo,
stucco,,ukuplasitela okucolisekile ,
temporary shelter,,isakhiwo sesikhashana,
tenon,,ikhinqela/ ikhingqela,
thatch,,okufulelwe ngotshani,
thatching grass or reed,,utshani bokufulela noma umhlanga wokufulela,
thatching horse,,isitibilelo,
thatching needle,,itulo,
thatching paddle,,isishayo/isikafu,
thatching stirrup,,isitibilelo,
thatching twine,,intambo yokufulela,
tie beam,,isibambamishayo,
tile,,ithayili,
trellis,,isingathango/ isingaluthango,
truss,,amakabha/uhlaka lophahla/ amabhanuko,
tswana architecture,,indlela yokwakha ngokwabetswana,
twine,,intambo yokufulela,
valley,,isihoxo,
vane,,isikhombamoya/ inkombamoya,
venda architecture,,indlela yokwakha ngokwamavenda,
verandah,,umpheme/ uveranda,
verandah dwelling,,izakhiwo ezinemipheme/ izakhiwo ezinoveranda,
victorian architecture,,indlela yokwakha ngenkathi kavictoria,
,,,
wall plate,,isithwalimakabha/ isithwaliphahla/isithwalimabhanuko,
window,,iwindi/ ifastela,
xhosa architecture,,indlela yokwakha ngokwamaxhosa,
yarn,,intambo yokufulela,
zinc roof sheeting,,ukufulela ngothayela,
zulu architecture,,indlela yokwakha ngokwamazulu,
