English Term;English Definition;IsiZulu Term;IsiZulu Definition
scrapyard ;;indawo yezinsimbi ezindala;
screen ;;ufefe;
secondary collection;;uhlelokuqoqa imfucuza esigabeni sesibili;
secondary leachate;;amanzi engqibamfucuza esigabeni sesibili;
secondary raw materials;;okusetshenziswa isibili;
septage;;ubindizampihlimpihli;
service area ;;indawo yokusebenza imfucuza;
setout container;;umgqomo wemfucuza;
sewage sludge;;ubindiza lwendle;
sewage treatment ;;ukuhlanzwa kwendle;
site remediation;;ukuhlanza indawo ;
source reduction;;ukunciphisa izingcolisi;
source separation;;ukwehlukanisa imfucuza ngokwemvelaphi ;
special domestic refuse;;imfucuza ekhethekile ezindaweni zokuhlala;
special industrial refuse;;imfucuza ekhethekile yasezimbonini;
special wastes;;imfucuza ekhethekile;
storage of refuse;;ukugcinwa kwemfucuza;
street sweeping;;ukushanela umgwaqo;
swap shop;;umasishintshane;
tariff charge;; inkokhelo yamatharifi;
tip  ;;ukuchithwasakuqethuka;
tipping face ;;umginqi wokuthulula;
tipping fee;;imali yokuthulula;
tipping floor;;icabazi lokuthulula;
trade waste;;imfucuza yezohwebo;
transfer;;ukwedlulisela;
transfer Point;;indawo yokwedlulisela;
transfer station;;isiteshi sokudlulisa;
trash;;imfungumfungu;
treated medical waste;;imfucuza yezokwelapha esingathiwe;
treating medical waste;;ukusingathwa kwemfucuza yezokwelapha;
treatment;;ukusingatha/ukuhlanza;
treatment plant;;isikhungo sokuhlanza/isikhungo sokusingatha;
waste bin;;mgqomo wemfucuza;
waste collection;;ukuqoqa imfucuza;
waste collector;;umqoqimfucuza;
waste container;;isiqukathimfucuza;
waste dealer;;umdayisimfucuza;
waste generator;;umkhiqizimfucuza;
waste handling facility;;isizinda sokusingatha imfucuza;
waste lagoon ;;umncwebe wemfucuza;
waste management ;;ukulawulwa kwemfucuza;
waste management act;;umthetho wezokulawulwa kwemfucuza;
waste management activity;;umsebenzi wokulawula imfucuza;
waste management control officer;;ophethe ezokulawulwa kwemfucuza;
waste management licence;;imvumo/ilayisense yokulawula imfucuza;
waste management service;;umsebenzi wokulawula imfucuza;
waste Management System ;;uhlelo lokulawula imfucuza;
waste minimisation program;;uhlelokunciphisa imfucuza;
waste oil;;amafutha asonakele;
waste picker;;umcoshimfucuza/ugwaziphepha;
waste picking;;ukucosha imfucuza;
waste recycler;;umvuseleli/umsimamisimfucuza;
waste recycling;;ukuvuselela imfucuza;
waste reduction;;ukuncishiswa kwemfucuza;
waste removal service area;;indawo ethuthelwa imfucuza;
waste stream;;umgudu wemfucuza;
waste transfer facility;;indawokudlulisela imfucuza;
waste treatment;;ukuhlanza/ukusingatha imfucuza;
wastes generated by natural causes;;imfucuza edalwa izimo zemvelo;
wastes generated by traffic;;ukungcola okudalwa izithuthi;
wastes generated by traffic;;ukungcola okudalwa izithuthi;
wastewater ;;amanzimfucuza;
white goods;;impahla kagesi;
windrow composting;;ukuvundisa ngokuphephukayo/kwezimpepha;
wrapper;;isisongi    ;
yard waste;;imfucuza yasegcekeni;
