non-zero;okukhona;
norm;See absolute value;
normal line;ivundlantintagobela/umugqa inomali;
normal vector;okunobungako nenkomba okujwayelekile;
normalization;ukujwayeza;
null set;iqoqo elingenalutho;
number;inombolo;
numerator;isihlukaniswa;
obtuse angle;iyengela e(li)vulekile;
octagon;unxasishiyagalombili/;
;umacalasishiyagalombili;
odd;okuwugweje;
odd function;insizakusebenza ewugweje;
one-to-one correspondence ;(see bijection);
one-to-one function ;(see injection);
open interval;isikhawu esivulekile;
open set;iqoqo elivulekile;
opposite side;uhlangothi olubhekene/uhlangothi oluqondene;
order;umthethokulandelana;
order theory;injulalwazi yomthethokulandelana;
ordered pair;okuhlelwe ngakubili;
ordinate;isixhumanisi mpo;
orientation;isimokuma;
origin;umsuka/ingqala;
original;insusela;
orthogonal;okuvundlile;
orthogonal projection;Insizakwenza enomkhawulo evundlile;
osculating planes;izicaba eziqabulanayo;
Osculating curves;amagobela aqabulanayo ;
parabola;igobelasibuko/ ipharabhola;
parallel;okuqhelelene ngokungaguquki;
parallelogram;unxande otshekile;
parameter; imbangelanguquko ;
parametric curve;igobela eliyimbangelanguquko;
parametric equation;Isibalokulingana sembangelanguquko;
partial derivatives;ingxenyenkombanguquko ;
partial differential equation;isibalokulingana sengxenyenkombanguquko ;
partial differentiation;inqubokuthola ingxenyenkombanguquko;
partial fraction;ingxenye yeqhezu;
partial sum;ingxenye yesamba;
partition;isehlukanisi;
pentagon;unxanhlanu/umacalamahlanu;
percentage error;iphutha kokwekhulu/iphutha ngokwephesenti;
period;inkathi;
periodicity;ukuziphinda kwenkathi;
permutation;indlelakuhlela;
pH scale;isikalasimuncwana;
phase shift;ukuguquka kwesigaba;
photogrammetry;ukalonguqukozithombe ;
pi ( ?);inanisilinganiso lendilinga/inanisilinganiso lendingilizi;
piecewise-function;insizakwenza eyizikhawu;
plane;isicaba;
plot;ukubeka izixhumanisi;
point (see ordered pair);isixhumanisi;
polar angle;iyengela yamapali;
polar axis;inkabamudwa yamapali;
polar coordinates;Isixhumanisi samapali;
polar form;okwamapali;
polynomial;uziquningi;
polynomial of degree n;uziquningi ka n;
population growth;ukukhula kokuphilayo;
power;inkombananikuphindwa;
power function;insizakwenza yenkombananikuphindwa;
power series;uchungechunge lwenkombananikuphindwa;
principal value;inanisiqalo;
probability;ithubakwenzeka;
product;umphumela wokuphindaphinda;
product rule;umthetho womphumelakuphindaphinda;
projection;insizakukwenza enomkhawulo;
projective geometry;insizakwenza enomkhawulo yesiphambanozinombolo ;
quadrant;umagumbimane;
quadratic approximation;isilinganiso esiziquzine;
quadratic equation;isibalokulingana esinompindakabili;
quadratic expression;unhlangothiningi oholwa umpindakabili;
quadratic formula;inkambisosisombululo yesibalokulingana  esinempindakabili ;
quadratic variation;incezuko ngempindakabili;
radian measure;Isikalamayengela;
radian;irediyeni;
radius;irediyasi;
radius of convergence;irediyasi yomkhawulo;
range;ononguquqoqo abancikile;
range;umehluko/ukushiyana;
ratio;izingasilinganiso;
rational function;insizakusebenza yezingasilinganiso;
rational number;inombolo yezingasilinganiso;
ray;umugqa onesiqalo;
real number line;Umugqazinombolo ngqo;
real number;Inombolo ngqo;
rectangle;unxande;
rectangular coordinate system;(see cartesian coordinate system);
rectilinear motion;umnyakazo emgqeni oqondile;
recursion;ukusukela kokwaziwayo;
recursive function;insizakwenza esukela kokwaziwayo;
reflex angle;iyengela e(li)vulekele ngaphandle;
regression line;umugqakuhlawumbisela;
relation ;ubudlelwane ;
restricted domain;ononguquqoqo abazimele abanomkhawulo;
restricted function/restriction;insizakwenza enomkhawulo;
revolution;iyengelamjikelezo/umjikelezo ;
right angle;iyengelangqo;
root-mean-square;ukuqhela enaninimaphakathi;
root;umgamanxovundlo;
saddlepoint;indawo yenjiko;
scalar;Inombolo ngqo;
scalar multiplication;ukuphindaphinda;
secant;isikhenti;
secant line;inqamulogobelaningi;
second order partial derivatives;ingxenyenkombanguquko yesibili;
secondary value;inanizingasibili;` 
second;umzuzwana;`
sector;ucezu lwendilinga;
segment;ingxenye ;
semicircle ;isingasiyingi;
sequence;ukulandelana;
set;iqoqo;
shell method;indlelakubala ngombhonxo;
shell;igobolondo;
sigma notation ( ?);uphawu i-sigma;
sine;usayini;
sinusoidal;okusagagasi;
slope ;umqansa ;
smooth;okubushelelezi;
solution;umphumelasixazululo;
sphere;imbulunga;
square;umaziphinde okhulayo;
square root;umaziphinde onciphayo;
square root function;insizakusebenza kamaziphinde onciphayo;
standard deviation;(see root mean squared);
static equilibrium;isimokulingana esingaguquki;
stationary point;imandawonye;
steady-state flow;indondanguquko;
strictly monotone decreasing;ukuncipha ngendlela engaguquki;
strictly monotone increasing;ukukhula ngendlela engaguquki;
subinterval;isikhawana;
subscript;inombolomaphansi;
subset;iqoqwana;
substitution;ukushintshanisa;
subtraction;ukususa;
sum;1. isamba;
sum;2. isibalo;
summation;uhlanganisozinombolo ezilandelanayo;
supplementary angles;izakhiyengelamugqa;
supremum;umkhawulosiphethongqo;
surjective function;insizakwenza enokuthembuza;
surface area;isendlaleko sengaphandle;
surface;ingaphandle;
surjection;ukuqondana okunokuthembuza;
symmetry;okuhlukana ngokulingana ;
tangent;ithanjenti;
tangent line;intintagobela;
tangent plane;intintasicaba;
terminal point;ekugcineni;
