English Term,English Definition,IsiZulu Term,IsiZulu Definition
hospitalization ,,ukulaliswa esibhedlela,
human resources ,,izisebenzi/ abasebenzi ,
humeral ,,okomkhono ,
hygiene ,,inhlanzeko,
hyperglycemia ,,izingakuphakama kukashukela egazini ,
hypertension ,,isifo sokuphakama komfutho wegazi/ihayihayi,
hypothesis ,,isingathekiso esingenasiqiniseko,
insulin ,,1.isidambisashukela 2.umjovo kashukela,
hysterectomy ,,ukukhishwa isibeletho,
identification ,,ukubeka uphawu ,
immunity ,,isimokugomeka/ isimokuvikeleka,
immunization ,,ukugoma/ ukuvika/ ukuvimba,
implementation ,,ukwenzeka ,
incidence rate,,izinga lezehlakalo (ezintsha) ,
incidence density ,,umthamo wezehlakalo,
incidence proportion /cumulative incidence rate,,izinga lokwanda  kwezehlakalo,
incubation ,,ukufukamela ,
incubation period ,,isikhathi sokufukamela,
in-dwelling catheter,,ipayipi lokuchama/ ithumbu lokuchama ,
infant ,,usana (sp)/ umntwana (gp),
infant mortality ,,ukufa kwezinsana (sp)/ukushona komtwana (gp),
infant mortality rate ,,izinga lokufa kwezinsana (lsp)/ izinga lokufa kwabantwana (lgp),
infectious agent,,imbangasifo  ,
infertility ,,ubunyumba (lsp)/ ukungatholi abantwana (lgp),
inflamed ,,okuvuvukele,
influenza ,,imfuluwenza/ isibhadalala (umkhuhlane),
insect,,isinambuzane,
intact,,okungaphazamisekile / okuwuthaqa,
intercourse ,,ukubhebhana (lsp) /ucansi/ ukulalana,
interrelationship ,,1.ubudlelwane 2.ukuhlobana,
intervention ,,ukungenelela,
internal homeostasis,,izingasimo langaphakathi elizinzile ,
intermittent ,,okwezikhawu ,
invasion ,,uhlaselo ,
isolation period ,,isikhathi sokwahlukaniswa kwabanye,
jaundice ,,ijondisi ,
karposi's,,umdlavuza wesikhumba ongajwayelekile,
kwashiorkor ,,ikwashiyokho/ isifo sokungondleki esivuvukalisayo ,
labia major,,amalebe ,
lice mites ,,iminoyi ,
lifestyle ,,indlela yokuphila,
community development ,,ukuthuthukiswa komphakathi,
lubrication ,,ukubhixa/ukushelelisa,
malaria fever,,uqhuqho/umalaleveva ,
malignancy ,,isimila somndlavuza  ,
malnutririon ,,ukungondleki ,
mammography ,,ukuthathwa kwesithombe sebele,
marasmus  ,,isifo sokungondleki esizacisayo /imarasimasi,
