English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
strain theory;;injulalwazi yengcindezimpilo;
street robbery;;ukubamba inkunzi emgwaqeni;
subarachnoid hemorrhage;;ukophela ngaphakathi ebuchosheni;
subculture;;umkhutshana;
subdural hematoma;;ukunqwabelana kwegazi ebuchosheni;
submission;;ukuhambisa/isethulo;
submitting agency;;isikhungo esihambisayo/esethulayo;
summary offence;;icadlana;
supervised casework;;ukuhlaziya icala unomeluleki;
surveillance;;ukuqapha isinyelela;
suspect;;umsolwa;
suspicion;;izinsolo;
technical casework review;;ukubuyekezwa kwecala okuchwepheshile;
technical operations;;imisebenzi yobuchwepheshe;
technical operations manual;;ibhukwana lemisebenzi yobuchwepheshe;
testability;;ukuhloleka;
testable;;okuhlolekayo/okungahloleka;
testimony review;;ukubuyekezwa kobufakazi;
theorem;;ithiyoremu;
theory;;injulalwazi/ithiyori;
tissue;;isicubu;
tomography;;ithomografi;
toxicology;;isifundo sezobuthi/ngoshevu;
toxicology (forensic science discipline);;uphenyonzulu lwezobuthi/ngoshevu;
trace evidence;;ubufakazi obucashile;
traceability;;ukulandeleka;
traditional crime;;ubugebengumvama;
training program;;uhlelo lokuqeqesha;
transnational organized crime;;ubugebengu obuhleliwe bamazwe ;
trauma;;1.ingcindezi enkulu  2. ukulimala;
triangulation;;unxantathu wesithombesenzeko;
turnaround time;;isikhathi sokuphothula ;
ucr;;i-ucr;
unconscious mind;;isimo sokungaqwebuki (komqondo)/ingxenyemqondo elele;
universal precautions;;okuqikelelwa emhlabeni wonke;
vagrant;;umhambuma/uzulane;
validation;;ukuqinisekisa;
vandalism;;ukucekela phansi;
vault;;indawo evikelekile/ivolthi;
vehicle driver robbery;;ukubamba inkunzi umshayeli;
vehicular assault;;ukushayisa ngemoto;
verification;;ukuqinisekisa;
victim;;umgilwa/isisulu;
victim blaming;;ukusola umgilwa/isisulu;
victim impact statements;;isitatimende somthelelakuhlukumezeka kumgilwa/esisululwini;
victimology;;isifundo ngobugilwa/ngobusulu;
violence;;indluzula/udlame;
violent crime;;ubugebengu obunendluzula/obunodlame;
voluntary manslaughter;;ukubulala ngenhloso;
voyeurism;;ilukulukukubuka elithokozisayo ngokocansi /ivoyarizimu;
white-collar crime;;ubugebengu bezicwicwicwi;
witness;;ufakazi;
war crimes;;amacala ezempi;
