denticulate,,okuqhoshe sazinywana emzimbeni,;
dentine,,okuphathelene namazinyo,;
dentition,,uhlelomazinyo,;
dermatome,,izingxenyanamizwa zesikhumba,;
dermis,,isikhumba,;
detrusor,,isikhanulisi,;
di-,,isiqalo esisho unxambili/isiqalo sokuhlukaniseke kabili,;
dia-,, isiqalo esikhombisa ukudlula ku-/nge-,;
diaphragm,,untu,;
diastole,,isikhawu sokuvula kwenhliziyo,;
diencephalon,,ubuchopho obuphakathi nendawo,;
digastric,,imisipha yebilo,;
digit,,umunwe/uzwane,;
diploe,, isiponji sogebhezi,;
diplopia,,umbonambili,;
discus,,idiskhi,;
diverticulum,,ikhosomba,;
dorsum,,ingemuva,;
duct,,umgudu ,;
duodenum,,inanzi/ingobo,;
dura mater,,isembozabuchopho (esiwugqinsi),;
dysdiadochokinesia,,ukudiyazela/ukugqwegqwa,;
dysphagia,,ubunzima bokugwinya,;
dysphonia,,ukushwashwatha,;
ecto-,,isiqalo esisho ingaphandle,;
ectoderm,,isikhumba esingaphandle,;
ectopia,,okungekho endaweni efanele,;
efferent,,isibuyisi,;
ejaculatory,,okuphathelene nokuthunda,;
emboliformis,,okusasivimbo,;
embryo,,umbungwana,;
emissary,,umthambosithunywa,;
encephalon,,ubuchopho,;
endo-,,isiqalo esisho ingaphakathi,;
endocrine,,ukuchithela egazini,;
endoderm,,isikhumba esingaphakathi,;
endolymph,, uketshezi olusabisi ngaphakathi kwendlebe,;
endothelium,, uthwethwesi lwangaphakathi emthanjeni,;
ependyma,,ulwelwesiluketshezi  lobuchopho,;
epi-,,isiqalo esisho phezu kwe-/okumboze,;
epidermis,,isikhumba esingaphandle,;
epididymis,,isigcinasidoda esivuthiwe,;
epiglottis,,ugovana,;
epimysium,,isembozamsipha,;
epiphora,,isifo sokukhala izinyembezi,;
epiphysis,,ingxenye yethambo ekhulayo,;
epiploon,,umhlwehlwe,;
epithelium,,isicubu sangaphezulu,;
epoophoron,,okusale esizalweni,;
erigentes (nervi),,imizwa esuka emfunkulwini,;
eruption,,ukuqubuka/uhlevane,;
erythrocyte,,izinhlayiya zegazi ezibomvu,;
ethmoid,,ithambo elisasisefo ,;
eversion,,ukuphendulela ngaphandle,;
evolution,,uguqukosimo,;
extra-,,isiqalo esisho okweqile/okungaphandle/okungaphezu,;
fabella,,igobisadolo,;
falciform,,okusagobela/okusasikela,;
falx,,igobela/isikela,;
fascia ,,ibhandishi,;
fasciculus,,isixha esincane (semizwa),;
fauces,,isikhala emankankeni,;
femur,,ithambo lethanga/ifuphi,;
fenestra ,,iwindi/ifasitela,;
ferruginea,,ukuthomba kwensimbi,;
fetus, foetus,,umbungu,;
fibula,,ithambo lombala elincane/ifibhula,;
filum,,intanjana ,;
fimbria,,okusazinwele okulengayo,;
fissure,,umfantu,;
fistula,,umsele (ongajwayelekile) ,;
flavus, flava flavum,,okuphuzi,;
flexion,,ukugoba/ukugobisa,;
flexure,,imivingqi ekhombisa ukugoba,;
flocculus,,okusansonto ebuchosheni,;
folia,,amacembe/amahlamvu/amaqabunga,;
follicle,,imbulungana,;
fontanelle,,ukhakhayi,;
foramen,,imbotshana,;
forceps,,udlawu,;
form,,umumo,;
fornix,,isikhophoco,;
fovea,,umgojana ethanjeni,;
fossa,,umgodi,;
frenulum,,okusatomu elincane,;
frondiform,,igatsha elimacembecembe,;
frontal,,okungaphambili,;
fundus,,umbhekambobo/ifundasi,;
fungiform,,okumise okwekhowe,;
furcula,,ithambo elisamfologwana,;
fusiform,,okumise okomsipha,;
fusion,,inhlanganisela/ingxube,;
galea,,isidonsazinhlozi,;
galli,,ugedla,;
ganglion,,ifindo lemizwa,;
gastric-,,okuphathelene nesisu,;
gastro-,,isiqalo esisho okuphuma esiswini,;
gastrocnemius,,isihluzu  ,;
gelatinosa,,okunqumile/okubikizelayo,;
gemellus,,okungakubili,;
gen-,,isijobelelo sokuphathelene nenzalo,;
geniculum,,idolo eliselincane/idodlwana,;
genio-,,isiqalo sokuphathelene nesilevu,;
genitalia,,izitho zenzalo,;
genu,,idolo,;
germinativum,,ukuqhuma kwembewu,;
gingiva ,,okwezinsini,;
gladiolus,,okusankemba (encane),;
glans,,inkanda/ikhingqi,;
glenoid,,isikhoxo,;
glia,,isijobelelo sokuphathelene nenomfi/nenamathela ,;
globosus,,okuyimbulunga,;
globus,,ubumbulunga,;
glomerulus,,imbulungana,;
glomus,,inkatha yentambo/imbulunga,;
glossus,,ulimi,;
glottis,,umlomo womphimbo,;
