;English Term;English Definition;IsiZulu Term;IsiZulu Definition
redundancy;;isigqikuphimisa/iphrosodi;
reduplication;;okwefakamsindo;
reference ;;isingamushominxa;
referential;;isinganqubo;
reflexiveness;;ucwaningozilimi lobudlelwane bolimi nomqondo;
register;; okuyikhona ngokomqondo;
regressive assimilation;;umgudumoya wasemaphashini;
regular;;ngesikhathi;
reiteration;;unkamisa omsulwa;
relation;;isicacisi;
relative pronoun;;izingabunjalo;
relativity;;isabizwana sokubala;
release;;ucwaningozilimi ngokwamanani;
relexification;;ubungako;
remote structure;;uhlelolimi lomsukamqondo;
reordering;;uhlelolimi oluyikho;
repair;;impimisomagama eyamukelwa / impimisomsindo  eyamukelwa;
repertoire;;umamukeli;
replacive morpheme;;impindamuva;
representation (mental);;okungavuseleleka/okungabuyiseleka;
representation (symbolic);;okuziphindayo;
resonant;;okuncishisiwe;
restricted;;ukunciphisa;
restrictive;;ukungongi/impinda engenasidingo;
restructuring;;;
result;;;
retract;;ukuphindaphinda;
retroflex;;inkombagama ewumongo ;
reversal;;inkombabudlelwanomagama;
rheme;;ulimikuzichaza;
rhetoric;;ulimisimo/irejista;
rhotic;;ukufaniseka okuhlehlayo;
rhythm;;okujwayelekile;
right-branching;;ukuphinda;
rising tone;;ukuhlobana;
root;;isabizwana sesibaluli;
rounding;;ukuthelelana komcabango nolimi;
rule;;ukudedeleka;
rule feature;;inhlelabusha yamagamancazelo;
rule-to-rule;;isakhiwo esijulile;
Sandhi;;ukuhlela kabusha;
Sapir-Whorf hypothesis ;;ukulungisa;
satellite;;iqoqolwazizilimi;
scope;;isakhi esimele esinye;
second language teaching ;;okusemqondweni;
secondary articulation;;umbhalomfanekiso;
secondary response;;umahululekamphinjeni;
segment;;okunqindiwe;
selectional feature;;okunqindayo;
selective listening;;ukwakha kabusha;
self-embedding;;umphumela;
semantics;;ukuhosheleka/ukuhlehla;
seme;;isongalulimi;
semelfactive;;impambanisompimiso;
sememe;;impindancazelo;
semi-sentence;;ubugagu/ubuntengu/ubuciko;
semi-vowel;;irothikhi;
sense;;isigqi/umgqumo;
sentence;;ukutshekela kwesokudla;
sequence;;iphimbo elenyukayo;
serial relationship;;umsuka;
series;;ukundilingeka;
shallow;;umthetho;
sibilant;;umthethobuphawu;
sign language;;inkambiswanomthetho;
simple;;iSandhi;
simplicity;;umbono ongakafakazelwa kaSapir-Whorf;
single-base;;ingxubesakhiwosilandiso;
singular;;umkhawulo/umklamo;
singularly;;ukufundisa ulimi lwesibili;
sister-adjunction;;impimisomthelela;
situation ;;impendulo elekelelayo /impendulo eyengezayo;
slit;;ingxenye;
slot;;uphawukukhetha;
sociolect ;;inkethakulalela;
sociolinguistics ;;ukwengeza okuzenzekelayo;
sociopragmatics;;isifundoncazelo/isemantiksi;
soft consonant;;inhlukanisancazelo;
sonorant;;izakhi ezigaxwa esenzweni;
sound-symbolism;;incazelongqangi;
speech;;isigamumusho/ingxenyemusho;
speech community;;usingankamisa/unxankamisa;
spread;;umqondo;
squish;;umusho;
standard;;ukulandelana;
starred form;;ubudlelwano bamabinzana;
state;;uchungengwaqa;
statement;;okungajulile;
statistical linguistics;;umaswesweza/isibhilenti;
stative;;ulimi lwezimpawu;
stem;;okusobala;
stop consonant;;;
stranding;;;
strength;;;
stress ;;;
stricture;;;
string;;ubulula;
structural ambiguity;;insukelanye;
structural change;;ubunye;
structural description;;ngokobunye;
structuralism;;umgomo wobudlelwano;
structure;;isimo;
sub-categorisation;;isikhewu;
subjacency;;isikhala;
subject;;ulimi lomphakathi;
subjunct;;ucwaningozilimi emphakathini ;
subjunctive;;ukusetshenziswa kolimi emphakathini;
subordination;;ungwaqa othambile;
substance;;umahululeka;
substantive;;umsindobuphawu;
substitution;;inkulumo;
substrate;;umphakathi okhuluma limilunye;
suffix ;;ukunwebeka;
superfix;;ibizosenzo/isikwishi;
superlative;;okuvamile/okumisiwe;
superstrate;;okungamukelekile;
superstratum;;isimo;
suppletion;;isitatimende;
suprasegmental;;ucwaningozilimi lwezibalomidanti;
syllable;;okungaguquki;
synaesthesia;;isiqu;
;;umvinjwa ngqi;
synchronic;;insalayodwa;
syncretism;;iqinamsindo;
synonym;;ukugcizelela;
syntactic tree*;;ikhamamsindo;
;;uchungesakhiwo;
;;umqondombaxa emushweni;
;;inguqukosakhiwo;
;;incazelosakhiwo;
;;injulalwazi yesisekelosakhiwo;
syntagmatic collocation;;isakhiwo;
syntagmatic relationship;;ukwakha isigatshana somusho;
syntax;;isinqindanguquko;
synthetic;;inhloko/umenzi;
system;;okuhambisanayo;
tacit knowledge;;okuncikile;
