English Term ;English Definition ;IsiZulu Equivalent;IsiZulu Definition
personality trait;isakhi sobunjalomuntu;;
physical disability;ukukhubazeka ngokomzimba;;
plan of action;uhlelokwenza;;
population;iqoqo lokuphilayo;;
positive regard ;ukubuka ngeso elihle;;
positivism/modernism * ;injulalwazi yokuqinisekisa izenzeko ngokwesayensi/ iphozethivizimu/ imodenizimu;;
post test;emuva kokuhlolwa;;
post-modernism*;injulalwazi yamuva yokuqinisekisa isayensi/ emuva kwemodenizimu;;
poverty;ukuhlupheka;;
poverty line;umklamo wokuhlupheka/wobuphofu;;
power ;amandla;;
practice;umsebenzi;;
practicum;ukukhombisa okufundile;;
pre test;isandulelakuhlola;;
pre-modern/pre-positivism*;ngaphambi kwenjulalwazi yokuqinisekisa ngokwesanyensi/ ;;
presenting problem;inkinga ehlonziwe;;
prevalence rate;izingakusabalala;;
prevention;ukugwema/ukuvimbela;;
principle;umgomo ;;
private practice;ukusebenza ngokuzimela;;
privilege;ithubakwenzelwa/ithubakuvuneka;;
probation;isikhathi sokuvivinywa;;
probation officer;umvivinyi;;
probing ;ukubuzisisa/ukuhlolisisa;;
problem family;umndeni oyinkinga;;
problem solving;ukuxazulula inkinga;;
process;inkambiso/ indlela elandelwayo;;
process report;umbiko wenkambiso/wendlela elandelwayo;;
professional relationship;ubudlelwano ngokomsebenzi;;
program developer;umsunguli wohlelokusebenza;;
progress report;umbiko ngosekwenziwe;;
psychosocial support;ukwesekwa ngokwenhlalongqondo;;
qualitative research*;ucwaningozingabunjalo oluyikhwalithethivu;;
quantitative research*;ucwaningozinombolo ikhwantithethivu;;
race ;uhlanga;;
racism;ukucwasa ngobukohlanga;;
radical social work;ezenhlalakahle zenguquko enqala;;
rape;ukudlwengula;;
rapport ;ubudlelwanonhle;;
rationalization;ukwenza kube nomqondo;;
reaching out;ukunikeza usizo;;
recidivism*;ubumpindabugebengu;;
recognition;ukubona/ukwamukela;;
reconstruction services;izinhlelo zokwakha kabusha;;
redistribution;ukusabalalisa kabusha;;
referral;ukwedlulisela ;;
reflection;ukubukisisa osekwenzekile;;
reflexivity;ukuzihlola;;
reform school;isikole sokuhlumelelisa izimilo;;
reframing ;ukubukiswa kabusha;;
refugee;umbhaci/umbaleki;;
region;isifunda;;
rehabilitation;ukuhlumelelisa;;
relapse;ukubuyela esimweni esibi;;
relative poverty;ukuhlupheka ngokwezinga lakho;;
relief fund;isikhwama sosizo;;
repression;indlela yokucindezela;;
residential care;unakekelo endaweni yokuhlala;;
resilience;ukumela ubunzima;;
resistance  ;ukuphikisana/ukumelana nokuthile;;
resources;izinsizasidingo;;
respect for diversity;ukuhlonipha ukwahlukahlukana;;
responsibility;isibophezelo/umthwalo;;
rite of passage;umcimbi wokukhulisa;;
role;iqhaza;;
role expectation;iqhaza elilindelekile;;
role play;ukulingisa;;
school of industries;isikole samakhono;;
school social work;ezenhlalakahle ezikoleni;;
scope of practice;imiklamo yokusebenza;;
secondary trauma;ukuhlukumezeka okuwumxhantela;;
secondary victimization ;ukugileka okuwumxhantela;;
self-awareness;ukuziqonda/ukuzazi;;
self-concept;umqondobuwena;;
self-determination;ulawulokuziqokela/ ulawulokuzinqumela;;
self-efficacy;inkolelo yenkiphamphumela elindeleke kumuntu;;
self-help ;ukuzisiza;;
self-image;isithombebuwena;;
severity index;inkombazingakudlulela;;
sex;1.     ukubhebha;;
;2.     ucansi;;
;3.     ubulili;;
sexual abuse;ukuhlukunyezwa ngokocansi;;
sexual orientation;inkethabulili ongathandana nabo;;
sexuality;1.     imizwa ngokocansi;;
;2.     imizwa ngokobulili;;
shelter;indawo yokukhoselisa ;;
sheltered employment;ukuqashwa okunokubhekelelwa;;
short term assistance;usizo lwesikhashana;;
single parent;umzali ongayedwana;;
skill;ikhono;;
social action;izinyathelo zomphakathi;;
social assistance;ukusizwa komphakathi;;
social capital;amagalelo omphakathi;;
social change;uguquko emphakathini;;
social constructivist worldview;indlelakubuka ngokomphakathi;;
social development;ukuthuthukiswa komphakathi;;
social exclusion;ukukhishwa inyumbazane emphakathini;;
social functioning;ukuphila emphakathini;;
social grant;imali yesibonelelo ;;
social justice;ubulungiswa emphakathi;;
social policy;inqubomgomo yomphakathi;;
social security;isibonelelo sabantulayo;;
social stability;uzinzo emphakathini;;
social support;ukwesekwa umphakathi;;
social systems;izinhla zomphakathi;;
social virtues;izimisompilo zomphakathi;;
social welfare;inhlalakahle yomphakathi ;;
social work;ezenhlalakahle;;
social work role;iqhaza likasonhlalakahle;;
social work target;umthamo womsebenzi kasonhlalakahle;;
social worker ;usonhlalakahle;;
socialisation theory;injulalwazi yendlelakukhuliswa;;
socialization;indlelakukhuliswa;;
socio-cultural;isikonhlalo;;
socio-economic opportunity ;ithuba lenhlalomnotho;;
sociogram;inkombampilobudlelwano ;;
socio-political bias;ukuchema ngokwenhlalombusazwe;;
specific outcome;umphumela ngqo;;
spirituality;inkolelomoya;;
stage theory;injulalwazi yezigaba zokukhula;;
stereotype;inkolelomcabango;;
strategy ;uhlelosu;;
street child;ingane ehlala emgwaqeni ;;
strengths;onamandla kukho;;
strengths perspective;indlelakubuka ngonamandla kukho ;;
stress;ingcindezi;;
structural factors;okuphathelene nezinhlaka zomphakathi;;
subculture;1.     isikwana;;
;2.     umkhuba;;
suboptimal thinking;umcabango ongenanqubekela phambili;;
sub-systems;izinhlelwana;;
summarise ;ukufingqa;;
supervision;1.     ukuqapha;;
;2.     ukweluleka;;
support;ukweseka;;
survival;1.     ukuqhubeka nokuphila ;;
;2.     indlulabucayini;;
sustainable development;intuthuko esimeme/enekusasa;;
sympathy;uzwelo;;
system;uhlelo;;
tangible;okuphathekayo;;
target group;abaqondiwe;;
task centred;okugxile kukhona;;
termination;ukunqamula/ukuphelisa;;
theoretical framework*;injulalwazi esetshenzisiwe;;
theories of human behaviour*;injulalwazi yendlelakuziphatha;;
theory*;injulalwazi/ithiyori;;
therapy;ingxubekwelapha;;
tolerance;ukubekezela;;
tradition;usiko;;
trajectory;umlandompilo;;
transaction;inhlaliswano/impiliswano;;
transference;indluliselamizwa;;
transgender;impambananabulili;;
transition;indlulela;;
transsexual;impambananabulili;;
turning point;injikampilo;;
twin-lineal family system;ulibo lukayihlo nonyoko;;
unconditional positive regard;ukubuka ngokungenambandela;;
unit of attention;okubhekwe ngqo;;
universality;ubujikelele;;
values;amagugungqangi/imigomongqangi;;
victim;isisulu/umgilwa;;
violate;ukwaphula/ukona;;
vulnerability;ubuthaka/ukuba sengcupheni;;
welfare;inhlalakahle;;
white paper;uhlakamthetho;;
white racial domination;ukuqonelwa abamhlophe;;
xenophobia;inzondo yabezizwe ;;
