English Term;English Definition;IsiZulu Term;IsiZulu Definition
load or loading;;amabibi/ukungcola okuhamba namanzi ;
manure;;umquba/umanyolo/imvundiso;
medical waste;;imfucuza yezokwelapha;
monoculture;;utshalo oluhlobolunye;
mutation;;ukuguquka kolibofuzo;
national nature reserve (nnr);;isiqiwu/isiqiwi sikazwelonke;
national parks;;isiqiwu/isiqiwi sikazwelonke;
native species;;okwendabuko ;
natural areas;;izindawo zemvelo;
natural regeneration;;ukuzimilela ngokwemvelo;
natural monument or feature;;izindawo zemvelo ezinobugugu;
near-threatened species;;okungasengcupheni yokushabalala;
nectaring;;ukuncunca umpe/uvovo;
neutralisation;;ukulinganisa izinga ;
noise pollution;;umsindo ophazamisayo;
non-renewable resources;;izinsiza ezingavuseleleki;
noxious gases;;isisi esinobungozi;
nutrient management;;ulawulo lomsoco;
oil spill;;ukuchitheka kwamafutha/ kukawoyela;
organic food;; (ukudla) okukhuliswe ngokwemvelo ;
organism;;okuphilayo ;
overnourished population;;  okondleke ngokweqile ;
overnourishment;;ukondleka ngokweqile;
oxidising substances ;;izibhebhethekisamlilo;
ozone layer;;untwentwesimkhathi/isithibakushisa;
particulate matter;;isingcolisamoya/isingcolisimoya;
perennial;;isimila esiyisiphilaminyaka ;
permaculture;;uhlelo lokusetshenziswa kwezinsiza zemvelo/iphemakhalsha;
permanent crops;;imilanjalo/isitshalo esimila minyakayonke;
pesticides;;izibulalikhula/zinambuzane;
plasticulture;;uhlelolutshalo ngokumboza  ;
point source pollution (ps);;umthombo wokungcolile;
population bottleneck;;ukuncipha kweqoqo/umhlambi;
population density;;ukuminyana kweqoqo/komhlambi;
population ecology;;isifundo ngezinguquko emaqoqweni/emihlambini;
population genetics;;isifundo ngokusabalala noguquko ofuzweni;
population size;;ubungako beqoqo/bomhlambi;
plastic bag levy;;intela yocwazi;
porous;;okunezimbotshana/okunezikhadlana;
post-consumer waste;;imfucuza yosekusetshenzisiwe;
potash;;impumamlotheni/iphothashi;
preservation;;ukulondoloza;
preventive care (also referred to as preventive conservation);;ukunakekela ngokuvikela;
primary crop;;isitshalongqangi;
production – livestock primary;;umkhiqizongqangi wemfuyo;
primary woodland;;indawo yamahlathi kuphela;
protected area with sustainable use of natural resources;;indawo evikelekile esebenzisa izinsiza zemvelo ngendlela enokugcineka/enokulondeka;
protected landscape/ seascape;;indawo esemhlabeni /esolwandle evikelekile;
radiation;;isisabalalisimisebe;
radioactive;;okunemisebe eyingozi;
radon;;isisi esiphuma emadwaleni/enhlabathini;
recycle;;ukwenzabusha okusetshenzisiwe;
reforestation;;ukutshalwa kabusha kwehlathi;
refuse;;imfucuza/udoti/izibi;
regeneration;;ukuvuselela isitshalo/isilwane ngokwemvelo;
rehabilitation;;ukuhlelwa kabusha;
renewable energy;;amandla enziwe kabusha;
renewable resource;;insiza evuselelekayo/engaphinda isebenziseke;
reproductive isolation;;isithiyo ekukhiqizeni/isivimbela kukhiqiza;
residue;;insalela;
restoration;;ukubuyisela esimweni;
retention;;ukugcinwa kwamanzi;
retention basin;;uhlelo lokugcinwa kwamanzi;
retrieveable;;okubuyisekayo;
reuse;;ukusebenzisa kabusha;
reversibility;;uhlelo lokukhipha isithako/ikhemikhali;
riparian restoration;;utshalovikelo lomfula;
rip-rap;;amatshe kuvimba osebeni;
runoff;;ukugeleza kwamanzi ;
sanitary landfilling;;indlela yokugqiba imfucuza/udoti/izibi ;
scheduled ancient monument;;isikhumbuzo esidala esisohlwini;
seeders;;imishini yokuhlwanyela;
seed propagation;;ukwandiswa/ukusatshalaliswa kwembewu;
semi-natural ancient woodland;;ihlathi eliyisingandabuko;
semi natural habitat;;indawo eguquliwe/eyenziwe;
sessile;;okuphuma/okuhluma esiqwini;
shelterwood system;;uhlelo lokucaba ihlathi;
sink;;ukukhipha umoya/ukudedela isisi emkhathini;
site of special scientific interest (sssi);;indawo ekhethekile yocwaningo lwesayensi;
smokeless fuel;;okokubasa okungenantuthu;
solidification;;ukwenza okusatshe ngemfucuza;
species management area;;indawo yokuvikela/yokunakekela uhlobo lokuphilayo;
spinney;;ihlozi;
stabilization;;ukuzinzisa ubunjalo bento;
strict nature reserve;;isiqiwu esiklanyelwe ucwaningo;
succession;;ukulandelana kwezitshalo;
temporary crops;;izitshalo zesikhashana;
treatment;;ukwelapha ngesithako/ngekhemikhali;
tree preservation order (tpo);;umyalelo wokonga izihlahla/i-tpo;
tumulus;;indunduma yasendulo yengcwaba;
understorey;;ihlozi elisehlathini;
urban habitat;;indawo yasedolobheni;
vulnerable species;;uhlobo olusengcupheni yokushabalala;
waste;;udoti/izibi/imfucuza;
waste body;;ingqumbi kadoti/yezibi/yemfucuza;
waste load allocation;;ubungako bukadoti/bezibi/bemfucuza obuvumelekile;
waste disposal;;ukulahlwa kodoti/kwezibi/kwemfucuza;
waste disposal site ;;indawo yokulahla udoti/izibi/imfucuza;
waste stream;;umgudu kadoti/wezibi/wemfucuza;
waste management;;ukulawulwa kokulahlwa kodoti/kwezibi/kwemfucuza;
waste prevention;;ukwehlisa izinga likadoti/lezibi/lemfucuza;
water table;;amanzi angaphansi komhlaba;
weir;;isikalakugeleza kwamanzi;
wet flush;;ifenya/indawo evundile;
white goods;;izimpahla zikagesi eziyimfucuza;
wildlife conservation;;ukongiwa kwemvelo;
wilderness area;;indawo elihlane/ehlane;
wildwood;;uhlobo lwehlathi;
windblow;;ukukhula ngokutshekiswa umoya;
wind energy;;amandla omoya;
wind turbine;;isiphehligesi somoya;
woodbank;;umngcele wehlathi;
working face ;;indawo esetshenziselwa ukulahla udoti/izibi/imfucuza;
