English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
middle nasal concha;;izicubu zekhala ezimaphakathi ;
middle pharyngeal constrictor;;isinciphisimphimbo esimaphakathi;
middle scalene;;isikalini esimaphakathi;
minor;;okuncane;
morphology;;umumo/ukuma;
mouth;;umlomo;
musculocutaneous nerve;;umuzwa wengalo;
musculus uvulae;;isenyusigovane/ isiphakamisigovane;
mylohyoid muscle;;isenyusi sephansi lomlomo;
myocardium;;ulwelwemusipha lwenhliziyo;
myometrium;;ulwelwesibeletho olumaphakathi;
nail;;uzipho;
nasal;;okwekhala;
nasal bone;;umbombo;
nasalis muscle;;umsipha wekhala;
nasolacrimal duct;;umgudu wezinyembezi;
nasopharynx;;umphimbokhala;
neck;;intamo/umqala;
nerve;;umuzwa;
neuron;;umsukamizwa;
nipple;;ingono;
obliquus;;isitsheki ;
obliquus capitis inferior;;isitshekisikhanda esingezansi;
obliquus capitis superior;;isitshekisikhanda esingenhla ;
obturator externus;;umsiphanqulu ongaphandle;
obturator internus;;umsiphanqulu ongaphakathi;
occipitalis muscle;;umsipha wesiphundu;
occipitomastoid suture;;inhlanganagebhezi yesiphundu nemastoyidi;
oculomotor nerve;;umuzwa oyisinyakazisiliso  ;
oesophagus;;umminzo;
olfactory bulb;;isigaxa senzwaphunga;
olfactory nerve;;inzwaphunga;
olfactory tract;;umgudu wenzwaphunga;
olive;;umnqumo ;
omohyoid;;isehlisihayoyidi;
opponens digiti minimi;;isivimbelakunyakaza kukacikicane ;
opponens pollicis;;isivimbelakunyakaza kwesithupha;
optic canal;;umgudu womuzwa weso;
optic disc;;idiski yeso;
optic nerve;;umuzwa weso/ umuzwa wokubona;
optic tract;;umgudu weso;
orbicularis oculi;;inzungezaliso;
orbicularis oris;;inzungezamlomo;
orifice;;imbobo ;
oropharynx;;umphimbomlomo;
ossification;;ukwakheka kwethambo;
ossify;;ukwakha ithambo;
ovary;;isiqukathimaqanda;
oxygenated;;okunomoyampilo;
palatine;;okolwanga;
palatoglossus ;;isinyalizisi sangaphandle;
palatopharyngeus ;;isenyusimphimbo;
palmar;;okwentende yesandla;
palmar aponeurosis;;ubucaba bentende yesandla;
palmar interossei;;imisipha esentendeni yesandla;
palmaris longus;;isinyakazisintende yesandla eside;
palpebral;;okwejwabu leso;
papillary muscle;;umsipha wamaxaka;
parietal bone;;ugebhezinhlangothi;
parietomastoid suture;;inhlanganagebhezinhlangothi nemastoyidi;
passage;;umgudu;
patellar ligament;;isihlanganisimathambo sevi ;
pathway;;uxhumanomizwa;
pectinate muscle;;umsipha iphekhthinathi;
pectoralis major;;umsiphasifuba omkhulu;
pectoralis minor;;umsiphasifuba omncane;
pedal;;okuphathelene nonyawo;
pedicle;;isivikelamfunkulu esingemuva;
pelvis;;ithebe/unkimfi;
pericardium;;ulwambesi;
perimetrium;;ulwelwesisibeletho lwangaphandle;
peroneus brevis;;isinyakazisinyawo esifushane ;
peroneus longus;;isinyakazisinyawo eside  ;
peroneus tertius;;isinyakazisinyawo esincane  ;
phrenic nerve;;umuzwa wontu;
piriformis;;isizungezisinqulu/ iphirifomisi;
pivot joint;;ilunga elizungezelisayo;
plane joint ;;ilunga eliyisicaba;
plantar interossei;;umsipha wamathe onyawo;
plantaris;;isigobisadolo/iplantarisi;
pollicis;;okuphathelene nesithupha;
popliteal;;okusemanswebeni;
posterior;;okungemuva;
posterior crico-arytenoid;;isiqhelisizintambo zephimbo esingemuva;
posterior scalene;;isikalini esingemuva;
prevertebral;;okungaphambi komgogodla;
primary cartilaginous joint;;ilungangqangi elinoqwanga ;
process;;iqhosha;
pronator quadratus;;isiphendukisisandla esimacalamane;
pronator teres;;isiphendukisisandla esingenhla;
prone;;ukulala ubheke phansi;
proximal;;okuseduze nomsuka;
psoas major;;isinyakazisithanga esikhulu;
psoas minor;;isinyakazisithanga esincane;
pubic symphysis;;uqwanga lwesibumbu;
pulmonary artery;;umthambo oya emaphashini ;
pulmonary veins;;umthambo osuka emaphashini;
putamen;;isidlulisimizwa iphuthameni;
pyramidalis;;iphiramidalisi;
quadratus;;umacalamane;
quadratus femoris;;umacalamane osezinqeni;
quadratus lumborum;;umacalamane osezintumbusini;
quadratus plantae;;umacalamane wonyawo;
quadriceps femoris;;uzigaxazine wethanga;
radial nerve;;umuzwa wethambo lengalo elingaphandle;
receptor;;isemukelimuzwa;
recess;;isikhophoco;
rectus abdominis;;umsipha wenxasisu omile;
rectus capitis anterior ;;umsipha wekhanda oqondile ophambili;
